1342192986 |  319 | TMR1                 |     |  04:39:13.90 |  25:53:20.60 |   27.09132 | Mon Mar 29 13:43:17 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  9073 |   1  | SED B2B 140.00-220.00 x4 
1342192987 |  319 | TMC1A                |     |  04:39:35.00 |  25:41:45.50 |   27.13685 | Mon Mar 29 15:55:45 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  6787 |   1  | SED B2A 102.00-146.00 x6 
1342192988 |  319 | TMC1A                |     |  04:39:35.00 |  25:41:45.50 |   27.22793 | Mon Mar 29 18:08:12 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  9073 |   1  | SED B2B 140.00-220.00 x4 
1342193204 |  323 | HD35187              |     |  05:24:01.17 |  24:57:37.60 |   20.64744 | Fri Apr 02 02:02:33 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | KPOT_nevans_1            |  4565 |   1  | SED B2A 102.00-146.00 x4 
1342193205 |  323 | HD245906             |     |  05:39:30.48 |  26:19:55.10 |   17.13069 | Fri Apr 02 03:18:56 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | KPOT_nevans_1            |  4565 |   1  | SED B2A 102.00-146.00 x4 
1342193212 |  323 | HD203024             |     |  21:16:03.02 |  68:54:52.10 |   17.56989 | Fri Apr 02 09:44:23 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | KPOT_nevans_1            |  4565 |   1  | SED B2A 102.00-146.00 x4 
1342193214 |  323 | Serpens-SMM3         |     |  18:29:59.30 |  01:14:01.70 |   -3.98600 | Fri Apr 02 12:52:09 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  9073 |   1  | SED B2B 140.00-220.00 x4 
1342193215 |  323 | Serpens-SMM4         |     |  18:29:56.70 |  01:13:17.20 |   -4.09288 | Fri Apr 02 15:23:40 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  9073 |   1  | SED B2B 140.00-220.00 x4 
1342193216 |  323 | Serpens-SMM3         |     |  18:29:59.30 |  01:14:01.70 |   -4.16395 | Fri Apr 02 17:36:08 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  6787 |   1  | SED B2A 102.00-146.00 x6 
1342193217 |  323 | Serpens-SMM4         |     |  18:29:56.70 |  01:13:17.20 |   -4.24693 | Fri Apr 02 19:29:32 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | KPOT_nevans_1            |  6787 |   1  | SED B2A 102.00-146.00 x6 
1342195632 |  348 | 4 Vesta              | SSO |  09:51:34.65 |  21:33:24.77 |  -15.49854 | Tue Apr 27 04:35:55 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | Calibration_rppacs_18    |  1243 |   1  | 
1342195633 |  348 | 4 Vesta              | SSO |  09:51:35.33 |  21:33:17.46 |  -15.48139 | Tue Apr 27 05:06:29 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | Calibration_rppacs_18    |  2133 |   1  | 
1342195634 |  348 | 4 Vesta              | SSO |  09:51:36.37 |  21:33:07.79 |  -15.45593 | Tue Apr 27 05:52:01 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | small  |     | pointed                       | Calibration_rppacs_18    |  3041 |   1  | 
1342196686 |  370 | HD 235858            |     |  22:29:10.37 |  54:51:06.40 |   22.69262 | Tue May 18 21:51:48 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
1342196687 |  370 | HD 235858            |     |  22:29:10.37 |  54:51:06.40 |   22.68417 | Tue May 18 22:22:16 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342196694 |  370 | OH 231.8+4.2         |     |  07:42:16.83 | -14:42:52.10 |   22.16408 | Wed May 19 05:27:57 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  2373 |   1  | SED B2B 140.00-220.00 x1 
1342196695 |  370 | OH 231.8+4.2         |     |  07:42:16.83 | -14:42:52.10 |   22.17983 | Wed May 19 05:58:26 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | KPGT_mgroen01_1          |  1125 |   1  | SED B2A 102.00-146.00 x1 
